SPEEDING_CRASH,SL,NL,P_TRUCK,AVG_AADT,SIGNAL_NUM,SIGNAL_PER_MILE,STOPPED_NUM,STOPPED_PER_MILE,MEDIAN_WIDTH,MEDIAN_TYPE,P_RESIDENTIAL,P_COMMERCIAL,P_INDUSTRIAL,P_AGRICULTURAL,P_INSTITUTIONAL,P_GOVERNMENTAL,LANDUSE_MIX,POP_DEN,PCT_POV,PCT_VEHICLE_0,PCT_OLD_YOUNG,PCT_MEANS_PEDBIC,DAILY_TRANSIT,PAVEMENT_CONDITION,ISLDTYPE,ISLDWIDTH,OSLDTYPE,OSLDWIDTH,SURF_TYPE,SURFACE_WIDTH,LANE_WIDTH,POLES_PER_MILE,P_SINGLE_SIDEWALK_ONLY,P_BOTH_SIDEWALK_ONLY,SIDEWALK_WIDTH,P_SINGLE_BIKELANE_ONLY,P_BOTH_BIKELANE_ONLY,P_SINGLE_BIKESLOT_ONLY,P_BOTH_BIKESLOT_ONLY,P_SINGLE_SHAREDPATH_ONLY,P_BOTH_SHAREDPATH_ONLY,SHAREDPATH_WIDTH,SHAREDPATH_DISTFMRD,FRQ_AM78,NARROW_LANE,ASPHALT_SURFACE,PRESENCE_OF_MEDIAN_ISL_AT_CROSS,HIGH_FREQ_TRANSIT
0,55,4,4.623287671,24250,0,0,2,6.849315068,14,0,0,0,0,0,0,0,0,3.67E-05,0.265034666,0.111326815,0.36878971,0.055290817,16,4.25,0,2,1,5,0,24,12,0,1,0,6.47260274,0,0,0,0,0,0,0,0,2,0,1,0,0
1,55,4,9.067123985,20534.72446,2,1.33431984,3,2.001479761,40,0,0.506507203,0.092140588,0.010529046,0.291160162,0.016529122,0.016277543,0.631437483,4.96E-05,0.097352199,0.035333467,0.464860677,0.08417343,0,5,1,2,1,4,0,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,55,4,9.067123985,20534.72446,2,1.33431984,3,2.001479761,40,0,0.506507203,0.092140588,0.010529046,0.291160162,0.016529122,0.016277543,0.631437483,4.96E-05,0.097352199,0.035333467,0.464860677,0.08417343,0,5,1,2,1,4,0,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,50,4,6.599453552,30333.33333,0,0,10,6.914672936,38.765316,0,0.583126565,0.090699625,0.013630897,0.161959367,0.012520373,0.085465389,0.641767543,5.14E-05,0.105345912,0.15536105,0.717505241,0.045454546,14,5,1,3.088913282,1,5.133591481,0,24,12,3.017358658,0,0.073433827,5.576271186,0.01797815,0.047158069,0,0,0,0,0,0,2,0,1,0,0
0,50,4,6.599453552,30333.33333,0,0,10,6.914672936,38.765316,0,0.583126565,0.090699625,0.013630897,0.161959367,0.012520373,0.085465389,0.641767543,5.14E-05,0.105345912,0.15536105,0.717505241,0.045454546,14,5,1,3.088913282,1,5.133591481,0,24,12,3.017358658,0,0.073433827,5.576271186,0.01797815,0.047158069,0,0,0,0,0,0,2,0,1,0,0
1,45,7,13.70684749,20875.15723,0,0,2,6.289308176,30,0,0.158756126,0.72300852,0.002988462,0,0,0.043804476,0,0,0,0,0,0,26,3,0,2,1,3.5,0,41,11.71428571,0,0,1,5,0,0,0,0,0,0,0,0,4,1,1,0,1
1,45,7,13.70684749,20875.15723,0,0,2,6.289308176,30,0,0.158756126,0.72300852,0.002988462,0,0,0.043804476,0,0,0,0,0,0,26,3,0,2,1,3.5,0,41,11.71428571,0,0,1,5,0,0,0,0,0,0,0,0,4,1,1,0,1
0,50,4,6.248151791,20566.02036,3,1.789762558,4,2.386350078,42,0,0.229692896,0.394771158,0.010686089,0.003624965,0.014749496,0.281943705,0.662074522,0.00010646,0.121886539,0.097481676,0.315433395,0.066192352,0,3,1,2,1,5,0,24,12,1.006282646,0.912122658,0.087877342,6.545983,0,0,0.073559241,0,0,0,0,0,0,0,1,0,0
0,50,4,6.248151791,20566.02036,3,1.789762558,4,2.386350078,42,0,0.229692896,0.394771158,0.010686089,0.003624965,0.014749496,0.281943705,0.662074522,0.00010646,0.121886539,0.097481676,0.315433395,0.066192352,0,3,1,2,1,5,0,24,12,1.006282646,0.912122658,0.087877342,6.545983,0,0,0.073559241,0,0,0,0,0,0,0,1,0,0
0,35,8,2.914240506,53166.66667,1,7.765120631,0,0,32.24168161,0,0.507329231,0.342706541,0.016099672,0,0.006448198,0.087948787,0,3.45E-06,0.106315917,0.052067422,0.400564694,0.007296747,40,3.5,0,2,1,4.362522422,0,48,12,144.2790937,0.13807161,0.86192839,5,0,0.939579596,0,0,0,0,0,0,5,0,1,1,1
0,35,8,2.914240506,53166.66667,1,7.765120631,0,0,32.24168161,0,0.507329231,0.342706541,0.016099672,0,0.006448198,0.087948787,0,3.45E-06,0.106315917,0.052067422,0.400564694,0.007296747,40,3.5,0,2,1,4.362522422,0,48,12,144.2790937,0.13807161,0.86192839,5,0,0.939579596,0,0,0,0,0,0,5,0,1,1,1
3,45,4,31.37390244,13338.33333,0,0,7,8.587903325,32.44019139,0,0.353433203,0.064102143,0.044348473,0.443808583,0.013696223,0.004042615,0.641468326,0,0,0,0,0,0,5,0,2,1,5.511961722,0,24.37799043,12.18899522,0.385317331,0.054103791,0.385228806,5,0,0,0,0,0,0,0,0,0,0,1,0,0
3,45,4,31.37390244,13338.33333,0,0,7,8.587903325,32.44019139,0,0.353433203,0.064102143,0.044348473,0.443808583,0.013696223,0.004042615,0.641468326,0,0,0,0,0,0,5,0,2,1,5.511961722,0,24.37799043,12.18899522,0.385317331,0.054103791,0.385228806,5,0,0,0,0,0,0,0,0,0,0,1,0,0
1,55,4,5.211864407,39500,0,0,5,4.4754744,29.99641962,0,0.626435952,0.229847492,0.060707371,0,0.012802278,0.041246872,0,7.35E-05,0.334359065,0.118471899,0.338819891,0.037222769,0,4.75,1,2.006355174,1,4.479860365,0,24,12,0,0.085929108,0,6,0,1,0.112781955,0,0,0,0,0,0,0,1,0,0
1,55,4,5.211864407,39500,0,0,5,4.4754744,29.99641962,0,0.626435952,0.229847492,0.060707371,0,0.012802278,0.041246872,0,7.35E-05,0.334359065,0.118471899,0.338819891,0.037222769,0,4.75,1,2.006355174,1,4.479860365,0,24,12,0,0.085929108,0,6,0,1,0.112781955,0,0,0,0,0,0,0,1,0,0
5,50,6,6.411311374,56636.00277,0,0,2,3.498338289,41,0,0,0,0,0,0,0,0,2.30E-05,0.445321308,0.174382716,0.579241071,0,41,4,1,5,1,5,0,36,12,45.89863049,0,1,4.488368025,0.125940178,0.008221095,0.067692846,0,0,0,0,0,4,0,1,0,1
5,50,6,6.411311374,56636.00277,0,0,2,3.498338289,41,0,0,0,0,0,0,0,0,2.30E-05,0.445321308,0.174382716,0.579241071,0,41,4,1,5,1,5,0,36,12,45.89863049,0,1,4.488368025,0.125940178,0.008221095,0.067692846,0,0,0,0,0,4,0,1,0,1
0,45,4,5.301143791,18046.5,0,0,3,6.04107934,18.81594845,0,0.472018829,0.036180301,0,0,0,0.467643177,0,0,0,0,0,0,13,4.479219678,0,2,1,3.661699557,0,24,12,48.4752498,0.322190898,0,5.34375,0,0,0,0,0,0,0,0,1,0,1,0,0
0,45,4,5.301143791,18046.5,0,0,3,6.04107934,18.81594845,0,0.472018829,0.036180301,0,0,0,0.467643177,0,0,0,0,0,0,13,4.479219678,0,2,1,3.661699557,0,24,12,48.4752498,0.322190898,0,5.34375,0,0,0,0,0,0,0,0,1,0,1,0,0
2,45,6,6.44963858,43519.7573,2,4.310409855,0,0,23.38588729,1,0.679280876,0.123776318,0.03332768,0.009391205,0.023116011,0.057509575,0.544652156,0,0,0,0,0,40,4,0,2,1,4,0,36,12,0,0,1,5.177796863,0,0,0.58190533,0.407318645,0,0,0,0,5,0,1,0,1
2,45,6,6.44963858,43519.7573,2,4.310409855,0,0,23.38588729,1,0.679280876,0.123776318,0.03332768,0.009391205,0.023116011,0.057509575,0.544652156,0,0,0,0,0,40,4,0,2,1,4,0,36,12,0,0,1,5.177796863,0,0,0.58190533,0.407318645,0,0,0,0,5,0,1,0,1
0,45,4,12.76172007,19220.33333,1,1.607383678,2,3.214767355,23,0,0.347911904,0.088627203,0.125852429,0.339574539,0.021518551,0.014215745,0.737241567,0,0,0,0,0,0,5,0,2,1,4,0,24,12,0,0,1,6.17038267,0,0.905164363,0,0,0,0,0,0,0,0,1,0,0
0,45,4,12.2209548,18448.21115,1,2.79798545,2,5.595970901,40,0,0.351453432,0.163251424,0.089441186,0.136334585,0.057843485,0.092809302,0.864107083,0.000108459,0.25092176,0.153591453,0.417797334,0.052461911,0,5,1,2,1,4,0,24,12,17.35516145,0.691102406,0,5,0,0,0.167879127,0,0,0,0,0,0,1,1,0,0
0,45,4,12.2209548,18448.21115,1,2.79798545,2,5.595970901,40,0,0.351453432,0.163251424,0.089441186,0.136334585,0.057843485,0.092809302,0.864107083,0.000108459,0.25092176,0.153591453,0.417797334,0.052461911,0,5,1,2,1,4,0,24,12,17.35516145,0.691102406,0,5,0,0,0.167879127,0,0,0,0,0,0,1,1,0,0
